episode,global_step,episode_reward,moving_avg_reward,episode_worker_reward,episode_requester_reward,hit_rate,loss,epsilon,avg_q_value,buffer_size,eval_hit_at_1,eval_worker_reward,eval_requester_reward,eval_reward,eval_project_coverage
15,15000,540.0830004513264,381.4217339987556,655.1853522956371,540.0830004513264,0.233,0.18477236180752515,0.525,13.755501445059657,15000,0.3558,0.947471559047699,0.9554221630096436,0.9554221630096436,0.9839743589743589
16,16000,554.4099995791912,392.23350059753284,664.6948144733906,554.4099995791912,0.234,0.18526686326414346,0.4933333333333334,14.225129311778156,16000,,,,,
17,17000,586.3310009688139,403.6510006193729,735.3538423776627,586.3310009688139,0.268,0.19543899592757225,0.46166666666666667,14.684097360822047,17000,,,,,
18,18000,536.973001152277,411.05777842675644,651.3627289682627,536.973001152277,0.239,0.2069668863043189,0.43000000000000005,14.870519728078307,18000,,,,,
19,19000,580.2119995951653,419.96063217246217,725.7143819332123,580.2119995951653,0.268,0.19450836796313525,0.39833333333333343,15.225563568954371,19000,,,,,
20,20000,623.6710010170937,430.14615061469374,791.1679356619716,623.6710010170937,0.295,0.19625923297554254,0.3666666666666667,15.45419660042683,20000,0.3534,0.934070885181427,0.9563717842102051,0.9563717842102051,0.9807692307692307
21,21000,651.9220011979342,448.6541506115347,821.0032330229878,651.9220011979342,0.313,0.20165670604258776,0.3350000000000001,15.602335623514787,21000,,,,,
22,22000,670.7089986354113,468.32225051000717,849.7605159282684,670.7089986354113,0.324,0.22444844476878642,0.30333333333333345,15.943154997658262,22000,,,,,
23,23000,666.0479992702603,486.50265042707326,853.790942043066,666.0479992702603,0.331,0.2355475305467844,0.2716666666666666,16.45158270225059,23000,,,,,
24,24000,743.801999181509,509.74160032980143,950.0520135015249,743.801999181509,0.381,0.21667968130111695,0.24,16.584919435812104,24000,,,,,
25,25000,734.396999552846,529.5424502592534,923.5209880918264,734.396999552846,0.36,0.23186582386493682,0.20833333333333337,16.81420367895133,25000,0.3934,1.0102161169052124,1.0368602275848389,1.0368602275848389,0.9839743589743589
26,26000,799.6340015307069,552.9255503121764,1010.2813420891762,799.6340015307069,0.415,0.21759600403159857,0.17666666666666664,16.833106779761106,26000,,,,,
27,27000,767.7229994311929,574.8908501982689,995.2447699457407,767.7229994311929,0.406,0.23531502908468246,0.14500000000000002,17.024734597843825,27000,,,,,
28,28000,805.1580000109971,596.8654501745477,1053.0590474382043,805.1580000109971,0.426,0.21148488308489322,0.1133333333333334,17.186958073796454,28000,,,,,
29,29000,858.2029995620251,622.6946001039818,1117.1526028737426,858.2029995620251,0.464,0.2110613179281354,0.08166666666666667,17.390809971050626,29000,,,,,
30,30000,881.9629994407296,647.5803500266745,1144.264244042337,881.9629994407296,0.479,0.23346393144130706,0.050000000000000044,17.42749201647375,30000,0.4422,1.0980561971664429,1.1164147853851318,1.1164147853851318,0.9935897435897436
31,31000,906.7730003669858,669.3325000142679,1177.3577859178185,906.7730003669858,0.505,0.23169585379958152,0.050000000000000044,17.568146747304723,31000,,,,,
32,32000,909.3819989562035,692.368849989213,1176.516980111599,909.3819989562035,0.496,0.2421691091954708,0.050000000000000044,17.730073367733514,32000,,,,,
33,33000,914.1109972372651,712.9319498436525,1206.5005064457655,914.1109972372651,0.502,0.2610584593713284,0.050000000000000044,17.798532456708102,33000,,,,,
34,34000,873.2950002253056,730.2399998681619,1135.283945336938,873.2950002253056,0.48,0.23352247436344623,0.050000000000000044,17.990625176620874,34000,,,,,
35,35000,892.554999679327,747.863599829562,1147.2127674296498,892.554999679327,0.485,0.24007967668771743,0.050000000000000044,18.036940316155217,35000,0.4362,1.091966152191162,1.1109968423843384,1.1109968423843384,0.9871794871794872
36,36000,918.6289994865656,766.0745498249307,1195.6634363532066,918.6289994865656,0.499,0.2511044609993696,0.050000000000000044,18.094875405104816,36000,,,,,
37,37000,950.9149997830391,784.303749765642,1230.6136391237378,950.9149997830391,0.521,0.26021850207448005,0.050000000000000044,18.17334488958939,37000,,,,,
38,38000,901.7620024755597,802.5431998318061,1165.448091313243,901.7620024755597,0.489,0.26707956837117675,0.050000000000000044,18.37955348215682,38000,,,,,
